standard_id	audit_status	evidence_path	evidence_digest	audited_at	claim_ceiling_impact
active-setup-to-idle-orchestration-thread-bound-heartbeat	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
adversarial-packet-tampering-forged-proof-rejection	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
agent-authored-source-tooling-docs-provenance	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
agent-queryable-observability	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
agent-remediating-validator-failures	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
agent-session-telemetry-token-rate-limit	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
architecture-dependency-topology	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
authority-exhaustiveness-closed-enums-impossible-state-elimination	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
authority-source-binding	pending	scripts/check-agent-standards	sha256:41c848ea277997f900430ebe72ef818b7ac3e2d1cc4b2d2ba0319d9781402810	2026-07-14T17:37:26Z	install, runtime, product, review
autonomy-loop-proof	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
batch-fanout-custom-agent-job-worker-result-discipline	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
behavior-example-coverage-coverage-anti-gaming	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
capability-gap-extraction-harness-capability-promotion	pending	validator/src/audit/mandatory/law/surfaces/mod.rs	sha256:fdeb93e7656cd724f885c7f7174caaa61b9de1839ffc08f80248e1020c58a826	2026-07-14T17:37:26Z	completion, review, package, readiness, release
