standard_id	audit_status	evidence_path	evidence_digest	audited_at	claim_ceiling_impact
authority-source-binding	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
cli-control-plane-authority	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
cli-performance-latency-speed-iteration-fitness	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
cli-self-law-compliance	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
coverage-proof-accountability	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
coverage-scope-authority	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
documentation-freshness	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
plugin-product-cohesion-authority	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
privacy-raw-artifact-boundary	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
product-live-surface-receipts	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
reviewer-to-gate-conversion	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
runtime-tool-identity	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
source-installed-cache-alignment	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
std-automation-001	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
std-plans-001	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
std-product-fitness-001	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
transcript-quality-reuse-gates	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-26T05:44:00Z	package_static_fixture_only
