id	source_law	required_behavior	enforcement_status	gate_or_fixture_path	owner_lane	claim_ids_affected	current_status	blocker_or_repair_action	required_execplan_refs
authority-source-binding	proof-gate: authority source binding	Named plugin, process, installed package, app registry, or runtime authority must not silently fall back to another authority source.	mechanized	scripts/check-agent-standards	root	install, runtime, product, review	active	Run standards enforcement before material claims; record fallback boundary in the relevant receipt.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md
cli-control-plane-authority	target-repo green fixture central law: cli-control-plane-authority	The cli-control-plane-authority law is represented in the target-repo green fixture and routed through the target standards check.	mechanized	scripts/check-agent-standards	target-repo-fixture	package_static_fixture_only	active	Run scripts/check-agent-standards; target green fixture cannot claim compliance if this row or evidence is stale.	tech-debt-tracker.md
cli-performance-latency-speed-iteration-fitness	target-repo green fixture central law: cli-performance-latency-speed-iteration-fitness	The cli-performance-latency-speed-iteration-fitness law is represented in the target-repo green fixture and routed through the target standards check.	mechanized	scripts/check-agent-standards	target-repo-fixture	package_static_fixture_only	active	Run scripts/check-agent-standards; target green fixture cannot claim compliance if this row or evidence is stale.	tech-debt-tracker.md
cli-self-law-compliance	target-repo green fixture central law: cli-self-law-compliance	The cli-self-law-compliance law is represented in the target-repo green fixture and routed through the target standards check.	mechanized	scripts/check-agent-standards	target-repo-fixture	package_static_fixture_only	active	Run scripts/check-agent-standards; target green fixture cannot claim compliance if this row or evidence is stale.	tech-debt-tracker.md
coverage-proof-accountability	agent standards: coverage and test law	Coverage claims require coverage receipts; test pass counts, smoke tests, fixtures, mocks, and reviewer signoff do not prove coverage. Lower-than-100 floors are ratchet debt with owner, reason, artifact, blocker, and claim ceiling.	mechanized	scripts/check	root	completion, coverage, release, production-readiness	active	Run scripts/check and coverage-proof-policy before material completion claims; withhold claims when coverage is missing or below the declared policy.	mandatory-coverage-authority-and-enforcement.md,mandatory-coverage-scope-authority-and-anti-theater.md
coverage-scope-authority	coverage scope authority law	Coverage scope is owned by .harness/coverage-manifest.json, repo walk validation, changed-file coupling, receipt freshness, policy mutation checks, and fast/full coverage gate separation. Agents cannot narrow scope, copy proof, or use fast checks for completion claims.	mechanized	scripts/check-coverage-full	root	completion, readiness, release, material-signoff, coverage	active	Run coverage scope validators and full coverage gate before material claims; withhold claims when manifest, freshness, changed-file, or fast/full authority checks fail.	mandatory-coverage-authority-and-enforcement.md,mandatory-coverage-scope-authority-and-anti-theater.md
documentation-freshness	agent standards: namespace and progressive disclosure	Work that changes architecture, commands, standards, runtime behavior, product behavior, proof surfaces, lane state, or operational procedure updates affected repo-owned docs before completion claims, or records the owed stale documentation update.	mechanized	scripts/check-agent-standards	root	completion, documentation, orchestration	active	Completion claims require docs-current evidence for changed proof, runtime, product, standards, lane, or command surfaces; stale docs keep related claims withheld.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
plugin-product-cohesion-authority	mandatory plugin product cohesion and fit-repo authority	Harness Ultragoal fit-repo activation must enter through harness-ultragoal:fit-repo, emit fit-repo and plugin product journey receipts, validate plugin flow graph edges, keep source/install/cache/app-registry proof surfaces separate, and promote severe setup friction into standards-gardener rows.	mechanized	docs/plugin-cohesion-manifest.json	root	fit-repo, init, retrofit, product-cohesion, install, cache, app-registry	active	Run plugin product cohesion validator before setup or material claims; withhold claims when fit-repo receipt, flow graph, package closure, or journey receipt is missing.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md
privacy-raw-artifact-boundary	security and privacy law	Validators and review prompts prevent opening or persisting raw private transcript, audio, prompt, message, or event payloads while allowing category-only status and leak summaries.	mechanized	scripts/check-agent-standards	root	security, review, fixtures	active	Use redacted snippets, digests, counts, category status, and leak summaries instead of raw private payloads.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md,mandatory-product-fitness-quality-in-use-enforcement.md
product-live-surface-receipts	proof-gate: proof surfaces are not interchangeable	CLI checks and fixtures do not prove live recording, live UI, replay, transcript alignment, video alignment, or parent-operation coordination.	mechanized	scripts/check-agent-standards	root	recording, replay, transcript, product	active	Live product, recording, replay, transcript-alignment, and parent-operation claims require same-surface live receipts; CLI/install/package proof cannot substitute.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md,mandatory-product-fitness-quality-in-use-enforcement.md
reviewer-to-gate-conversion	standards-gardener: promotion ladder	Recurring or severe reviewer findings become scripts, tests, standards rows, fixtures, blockers, or claim ceilings.	mechanized	scripts/check-agent-standards	root	review, completion	active	Reviewer agreement cannot close the finding until the row is mechanized, blocked, or backlogged.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
runtime-tool-identity	agent standards: proof freshness and operation identity	Browser, UI, and runtime proof records exact tool identity, version, binary path when relevant, artifact digests, workspace, and claim ceiling.	mechanized	scripts/check-agent-standards	root	runtime, UI, product	active	Runtime/UI claims require exact tool identity evidence; unidentified runtime proof keeps live UI/runtime claims withheld.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md,mandatory-product-fitness-quality-in-use-enforcement.md
source-installed-cache-alignment	proof-gate: same-surface plugin availability	Plugin availability claims require separate source, installed-plugin, cache-package, package-sync, package-hygiene, and per-surface receipts.	mechanized	scripts/check-agent-standards	root	install, cache, app visibility	active	Withhold install/cache/app visibility claims until same-surface receipts exist.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md
std-automation-001	STD-AUTOMATION-001: Ultragoal orchestrator idle automation contract	Ultragoal idle orchestration automation must be a self-contained heartbeat contract bound to thread, goal, repo, evidence cursors, tools, skills, output policy, action policy, and claim ceiling.	mechanized	scripts/check-agent-standards	root	orchestration, automation, lane monitoring, completion	active	Use .codex/automations/ultragoal-orchestrator/automation.toml and prompt.md; unresolved template markers or generic reminders cannot support material claims.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
std-plans-001	STD-PLANS-001: PLANS.md stable ExecPlan law	PLANS.md is stable ExecPlan law and must not carry active project status, worker/thread ids, phase progress, backlog items, receipt state, or completion claims.	mechanized	scripts/check-agent-standards	root	planning, orchestration, completion	active	Move project-specific state to active ExecPlans, LANE_REGISTRY.json, VERIFICATION_BACKLOG.json, COMPLETION_MANIFEST.json, receipts, or AMENDMENTS.jsonl.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
std-product-fitness-001	STD-PRODUCT-FITNESS-001: mandatory Product Fitness and Quality-In-Use enforcement	Product-impacting success, readiness, release, daily-driver, install-success-as-product-success, and material product sign-off claims require Product Fitness receipts bound to audience, job, context, outcome, quality-in-use, accessibility, cognitive-load, recovery, continuance when claimed, and claim ceiling. Substitutions are rejected.	mechanized	schemas/product-fitness-receipt.schema.json	root	product-fitness, product-readiness, release, daily-driver, material-signoff	active	Run product-fitness-proof before product-impacting claims; withhold claims when Product Fitness receipt, schema, standards row, or substitution rejection proof is missing.	mandatory-product-fitness-quality-in-use-enforcement.md
transcript-quality-reuse-gates	security and reliability standards: transcript finalization	Missing or disabled post-stop batch transcription, cleanup, or final alignment blocks reuse when downstream claims trust final words.	mechanized	scripts/check-agent-standards	root	transcript, replay, product	active	Transcript reuse claims require final post-stop transcription, cleanup, and alignment evidence; disabled or missing finalization withholds reuse claims.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md,mandatory-product-fitness-quality-in-use-enforcement.md
