id	source_law	required_behavior	enforcement_status	gate_or_fixture_path	owner_lane	claim_ids_affected	current_status	blocker_or_repair_action	required_execplan_refs
active-setup-to-idle-orchestration-thread-bound-heartbeat	mandatory law: Active Setup To Idle Orchestration Thread Bound Heartbeat	Active Setup To Idle Orchestration Thread Bound Heartbeat must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; orchestration_claims_withheld_without_setup_to_idle_transition_and_thread_bound_heartbeat.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
adversarial-packet-tampering-forged-proof-rejection	mandatory law: Adversarial Packet Tampering Forged Proof Rejection	Adversarial Packet Tampering Forged Proof Rejection must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; packet_claims_withheld_without_tamper_and_forgery_rejection.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
agent-authored-source-tooling-docs-provenance	mandatory law: Agent Authored Source Tooling Docs Provenance	Agent Authored Source Tooling Docs Provenance must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; law_bearing_changes_withheld_without_agent_visible_provenance.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
agent-queryable-observability	mandatory law: Agent Queryable Observability	Agent Queryable Observability must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; observability_claims_withheld_without_typed_queryable_correlated_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
agent-remediating-validator-failures	mandatory law: Agent Remediating Validator Failures	Agent Remediating Validator Failures must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; validator_claims_withheld_without_agent_remediating_failures.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
agent-session-telemetry-token-rate-limit	mandatory law: Agent Session Telemetry Token Rate Limit	Agent Session Telemetry Token Rate Limit must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; agent_run_claims_withheld_without_redacted_session_telemetry.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
architecture-dependency-topology	mandatory law: Architecture Dependency Topology	Architecture Dependency Topology must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; architecture_dependency_topology_withheld_without_registry_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
authority-exhaustiveness-closed-enums-impossible-state-elimination	mandatory law: Authority Exhaustiveness Closed Enums Impossible State Elimination	Authority Exhaustiveness Closed Enums Impossible State Elimination must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; authority_claims_withheld_without_closed_enum_exhaustiveness.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
authority-source-binding	proof-gate: authority source binding	Named plugin, process, installed package, app registry, or runtime authority must not silently fall back to another authority source.	mechanized	scripts/check-agent-standards	root	install, runtime, product, review	active	Run standards enforcement before material claims; record fallback boundary in the relevant receipt.	mandatory-plugin-product-cohesion-and-fit-repo-authority.md
autonomy-loop-proof	mandatory law: Autonomy Loop Proof	Autonomy Loop Proof must be enforced through typed receipts, validator checks, red fixtures, valid fixtures, and claim-ceiling guards.	mechanized	validator/src/audit/mandatory/law/surfaces/mod.rs	root	completion, review, package, readiness, release	active	Run mandatory-law surface validation; behavior_change_claims_withheld_without_before_after_receipt.	harness-ultragoal-plans-and-orchestrator-automation-hardening.md
